Device,Interface,Speed,State:last1d,State:Current,Last Change,Title,VLANs
KAd-A002-vfswb,Gi4/28,1000000000,free,down,2020-04-15 14:03,A300E/D.350 ###39505,
KAd-A002-vfswb,Gi4/29,1000000000,free,down,2015-12-01 13:07,A300E/D.351 ###39505,
KAd-A002-vfswb,Gi4/30,1000000000,free,down,2020-02-17 17:33,A300E/D.352 ###39505,
KAd-A002-vfswb,Gi4/31,1000000000,free,down,2020-02-20 08:48,A300E/D.353 ###39505,
KAd-A002-vfswb,Gi4/32,1000000000,free,down,2019-02-21 14:23,A300E/D.354 ###39505,
KAd-A002-vfswb,Gi4/33,1000000000,free,down,2020-01-24 08:26,A300E/D.355 ###39505,
KAd-A002-vfswb,Gi4/34,1000000000,free,down,2017-12-29 13:53,A300E/D.356 ###39505,
KAd-A002-vfswb,Gi4/35,1000000000,free,down,2022-06-24 12:07,A300E/D.357 ###39505,
KAd-A002-vfswb,Gi4/36,1000000000,free,down,2019-03-15 13:11,A300E/D.358 ###39505,
KAd-A002-vfswb,Gi4/37,1000000000,free,down,2018-11-14 13:48,A300E/D.359 ###39505,
KAd-A002-vfswb,Gi4/38,1000000000,free,down,2022-06-08 11:16,A300E/D.360 ###39505,
KAd-A002-vfswb,Gi4/39,1000000000,used,up,2022-06-24 00:02,BL104/D.501 ###39497,
KAd-A002-vfswb,Gi4/40,1000000000,free,down,2020-03-13 15:20,A300 D.503 ###39505,
KAd-A002-vfswb,Gi4/41,1000000000,free,down,2020-03-13 15:27,A300 D.502 ###39505,
KAd-A002-vfswb,Gi4/42,1000000000,free,down,2017-10-26 11:20,A306 D.505 ###39505,
KAd-A002-vfswb,Gi4/43,1000000000,free,down,2022-03-23 09:40,/D.040,
KAd-A002-vfswb,Gi4/44,1000000000,free,down,2015-12-01 13:07,/D.361,
KAd-A002-vfswb,Gi4/45,1000000000,free,down,2018-07-12 09:12,/D.042,
KAd-A002-vfswb,Gi4/46,1000000000,free,down,2015-12-01 13:07,/D.043,
KAd-A002-vfswb,Gi4/47,1000000000,used,up,2022-05-05 05:48,A010/D.047 ###39495,
KAd-A002-vfswb,Gi4/48,100000000,used,up,2015-12-01 13:07,KAD-A002-TMP ###39495,
KAd-A002-vfswb,Gi5/1,1000000000,free,down,2021-07-14 16:01,A300D/D.540 ###39505,
KAd-A002-vfswb,Gi5/2,1000000000,free,down,2020-02-20 08:18,A300E/D.362 ###39505,
KAd-A002-vfswb,Gi5/3,1000000000,free,down,2020-02-19 17:05,A300E/D.363 ###39505,
KAd-A002-vfswb,Gi5/4,1000000000,free,down,2017-10-30 11:09,A300E/D.364 ###39505,
KAd-A002-vfswb,Gi5/5,1000000000,free,down,2022-06-24 12:07,A300E/D.365 ###39505,
KAd-A002-vfswb,Gi5/6,1000000000,free,down,2020-02-20 08:20,A300E/D.366 ###39505,
KAd-A002-vfswb,Gi5/7,1000000000,free,down,2019-09-13 17:14,A300E/D.367 ###39505,
KAd-A002-vfswb,Gi5/8,1000000000,free,down,2018-12-03 16:06,A300E/D.368 ###39505,
KAd-A002-vfswb,Gi5/9,1000000000,free,down,2020-02-20 09:41,A300E/D.369 ###39505,
KAd-A002-vfswb,Gi5/10,1000000000,free,down,2020-02-26 10:24,A300E/D.370 ###39505,
KAd-A002-vfswb,Gi5/11,1000000000,used,up,2022-06-28 08:20,A300A/D.371 ###39505,
KAd-A002-vfswb,Gi5/12,1000000000,used,up,2021-10-19 09:23,A300B/D.372 ###39505,
KAd-A002-vfswb,Gi5/13,1000000000,free,down,2022-02-15 13:21,A312D/D.385 ###39505,
KAd-A002-vfswb,Gi5/14,100000000,used,up,2022-06-25 11:20,A312D/D.386 ###39505,
KAd-A002-vfswb,Gi5/15,1000000000,free,down,2015-12-01 13:07,A312/D.387 ###39505,
KAd-A002-vfswb,Gi5/16,1000000000,free,down,2015-12-01 13:07,A312/D.388 ###39505,
KAd-A002-vfswb,Gi5/17,1000000000,free,down,2021-10-04 08:16,A312E/D.389 ###39505,
KAd-A002-vfswb,Gi5/18,1000000000,free,down,2021-10-04 08:22,A312E/D.390 ###39505,
KAd-A002-vfswb,Gi5/19,1000000000,free,down,2019-03-14 10:32,A312A D.391 ###39505,
KAd-A002-vfswb,Gi5/20,1000000000,free,down,2015-12-01 13:07,A312E/D.392 ###39505,
KAd-A002-vfswb,Gi5/21,1000000000,free,down,2022-06-24 10:44,A320D/D.393 ###39505,
KAd-A002-vfswb,Gi5/22,1000000000,free,down,2018-12-28 16:44,A320D/D.394 ###39505,
KAd-A002-vfswb,Gi5/23,1000000000,free,down,2022-06-22 16:58,A320C/D.395 ###39505,
KAd-A002-vfswb,Gi5/24,1000000000,free,down,2015-12-01 13:07,A320C/D.396 ###39505,
KAd-A002-vfswb,Gi5/25,100000000,used,up,2019-01-09 12:24,A300C/D.373 ###39505,
KAd-A002-vfswb,Gi5/26,1000000000,free,down,2022-06-23 16:51,A300B/D.374 ###39505,
